,TÍTULO,TAXA,VALOR MÍNIMO,VALOR TÍTULO,VENCIMENTO
0,TESOURO PREFIXADO 2025,"13,39%","R$ 36,81","R$ 736,25",2025-01-01
1,TESOURO PREFIXADO 2029,"13,48%","R$ 31,09","R$ 444,22",2029-01-01
2,TESOURO PREFIXADO com juros semestrais 2033,"13,58%","R$ 32,72","R$ 818,22",2033-01-01
3,TESOURO SELIC 2025,"SELIC + 0,0924%","R$ 119,09","R$ 11.909,98",2025-01-03
4,TESOURO SELIC 2027,"SELIC + 0,1674%","R$ 118,47","R$ 11.847,48",2027-01-03
5,TESOURO IPCA+ 2026,"IPCA + 6,20%","R$ 31,26","R$ 3.126,42",2026-08-15
6,TESOURO IPCA+ 2035,"IPCA + 6,17%","R$ 37,17","R$ 1.858,50",2035-05-15
7,TESOURO IPCA+ 2045,"IPCA + 6,17%","R$ 30,68","R$ 1.022,98",2045-05-15
8,TESOURO IPCA+ com juros semestrais 2032,"IPCA + 6,17%","R$ 40,49","R$ 4.049,32",2032-08-15
9,TESOURO IPCA+ com juros semestrais 2040,"IPCA + 6,18%","R$ 40,25","R$ 4.025,56",2040-08-15
10,TESOURO IPCA+ com juros semestrais 2055,"IPCA + 6,20%","R$ 39,36","R$ 3.936,50",2055-05-15
